plan_id,hospital_id,is_in_network,contract_type,rank,distance_score,added_on
PL10002,H200827,yes,reimbursement,1,40.115,2025-09-30
PL10002,H200919,yes,cashless,2,21.84,2025-09-30
PL10002,H200249,yes,reimbursement,3,1.6,2025-09-30
PL10002,H200381,yes,reimbursement,4,2.942,2025-09-30
PL10002,H200767,yes,cashless,5,12.7,2025-09-30
PL10002,H200162,yes,cashless,6,10.976,2025-09-30
PL10002,H200561,yes,empanelled,7,23.986,2025-09-30
PL10002,H200549,yes,cashless,8,40.311,2025-09-30
PL10002,H200732,yes,cashless,9,10.556,2025-09-30
PL10002,H200206,yes,cashless,10,35.662,2025-09-30
PL10002,H200267,yes,reimbursement,11,28.153,2025-09-30
PL10002,H200260,yes,cashless,12,45.553,2025-09-30
PL10002,H200836,yes,reimbursement,13,43.164,2025-09-30
PL10002,H200134,yes,cashless,14,44.254,2025-09-30
PL10002,H200902,yes,cashless,15,30.397,2025-09-30
PL10002,H200307,yes,cashless,16,30.68,2025-09-30
PL10002,H200598,yes,reimbursement,17,5.245,2025-09-30
PL10002,H200227,yes,cashless,18,10.233,2025-09-30
PL10002,H200949,yes,reimbursement,19,47.009,2025-09-30
PL10002,H200180,yes,cashless,20,11.692,2025-09-30
PL10002,H200841,yes,cashless,21,39.968,2025-09-30
PL10002,H200010,yes,reimbursement,22,12.514,2025-09-30
PL10002,H200746,yes,cashless,23,18.633,2025-09-30
PL10002,H200531,yes,cashless,24,4.67,2025-09-30
PL10002,H200245,yes,cashless,25,3.979,2025-09-30
PL10002,H200539,yes,cashless,26,38.44,2025-09-30
PL10002,H200190,yes,cashless,27,19.394,2025-09-30
PL10002,H200738,yes,cashless,28,30.437,2025-09-30
PL10002,H200256,yes,cashless,29,13.783,2025-09-30
PL10002,H200301,yes,reimbursement,30,25.969,2025-09-30
PL10002,H200542,yes,cashless,31,18.512,2025-09-30
PL10002,H200005,yes,cashless,32,28.615,2025-09-30
PL10002,H200749,yes,reimbursement,33,34.598,2025-09-30
PL10002,H200551,yes,reimbursement,34,36.973,2025-09-30
PL10002,H200896,yes,cashless,35,27.286,2025-09-30
PL10002,H200996,yes,cashless,36,31.957,2025-09-30
PL10002,H200223,yes,reimbursement,37,33.734,2025-09-30
PL10002,H200861,yes,empanelled,38,43.621,2025-09-30
PL10002,H200272,yes,cashless,39,42.1,2025-09-30
PL10002,H200195,yes,cashless,40,33.326,2025-09-30
PL10002,H200650,yes,cashless,41,47.427,2025-09-30
PL10002,H200693,yes,cashless,42,47.148,2025-09-30
PL10002,H200794,yes,reimbursement,43,31.14,2025-09-30
PL10002,H200678,yes,cashless,44,34.399,2025-09-30
PL10002,H200713,yes,cashless,45,3.663,2025-09-30
PL10002,H200091,yes,cashless,46,10.011,2025-09-30
PL10002,H200969,yes,reimbursement,47,24.65,2025-09-30
PL10002,H200634,yes,cashless,48,49.033,2025-09-30
PL10002,H200995,yes,cashless,49,21.677,2025-09-30
PL10002,H200224,yes,reimbursement,50,24.058,2025-09-30
PL10002,H200906,yes,cashless,51,8.929,2025-09-30
PL10002,H200537,yes,cashless,52,39.942,2025-09-30
PL10002,H200353,yes,reimbursement,53,9.522,2025-09-30
PL10002,H200462,yes,reimbursement,54,1.177,2025-09-30
PL10002,H200524,yes,reimbursement,55,45.002,2025-09-30
PL10002,H200479,yes,cashless,56,38.975,2025-09-30
PL10002,H200774,yes,cashless,57,10.298,2025-09-30
PL10002,H200776,yes,cashless,58,13.01,2025-09-30
PL10002,H200435,yes,reimbursement,59,44.024,2025-09-30
PL10002,H200921,yes,cashless,60,4.128,2025-09-30
PL10002,H200058,yes,reimbursement,61,14.337,2025-09-30
PL10002,H200074,yes,cashless,62,9.034,2025-09-30
PL10002,H200755,yes,cashless,63,27.49,2025-09-30
PL10002,H200609,yes,empanelled,64,40.393,2025-09-30
PL10002,H200714,yes,cashless,65,8.256,2025-09-30
PL10002,H200443,yes,cashless,66,27.771,2025-09-30
PL10002,H200727,yes,cashless,67,40.884,2025-09-30
PL10002,H200346,yes,empanelled,68,31.266,2025-09-30
PL10002,H200131,yes,reimbursement,69,36.544,2025-09-30
PL10002,H200574,yes,reimbursement,70,17.399,2025-09-30
PL10002,H200360,yes,reimbursement,71,19.947,2025-09-30
PL10002,H200682,yes,cashless,72,20.508,2025-09-30
PL10002,H200212,yes,cashless,73,47.98,2025-09-30
PL10002,H200530,yes,cashless,74,11.192,2025-09-30
PL10002,H200047,yes,cashless,75,8.447,2025-09-30
PL10002,H200957,yes,cashless,76,36.257,2025-09-30
PL10003,H200051,yes,empanelled,1,47.918,2025-09-30
PL10003,H200443,yes,empanelled,2,41.386,2025-09-30
PL10003,H200234,yes,cashless,3,47.801,2025-09-30
PL10003,H200724,yes,cashless,4,34.348,2025-09-30
PL10003,H200035,yes,cashless,5,42.745,2025-09-30
PL10003,H200897,yes,cashless,6,7.951,2025-09-30
PL10003,H200046,yes,cashless,7,8.513,2025-09-30
PL10003,H200843,yes,cashless,8,1.394,2025-09-30
PL10003,H200793,yes,cashless,9,23.651,2025-09-30
PL10003,H200255,yes,cashless,10,27.105,2025-09-30
PL10003,H200318,yes,cashless,11,13.059,2025-09-30
PL10003,H200587,yes,cashless,12,49.736,2025-09-30
PL10003,H200794,yes,cashless,13,17.521,2025-09-30
PL10003,H200042,yes,cashless,14,9.318,2025-09-30
PL10003,H200988,yes,cashless,15,5.459,2025-09-30
PL10003,H200541,yes,cashless,16,19.99,2025-09-30
PL10003,H200425,yes,reimbursement,17,45.07,2025-09-30
PL10003,H200088,yes,cashless,18,23.691,2025-09-30
PL10003,H200582,yes,cashless,19,15.312,2025-09-30
PL10003,H200966,yes,reimbursement,20,36.19,2025-09-30
PL10003,H200752,yes,cashless,21,47.673,2025-09-30
PL10003,H200660,yes,reimbursement,22,42.361,2025-09-30
PL10003,H200156,yes,reimbursement,23,20.92,2025-09-30
PL10003,H200170,yes,empanelled,24,7.467,2025-09-30
PL10003,H200060,yes,reimbursement,25,43.77,2025-09-30
PL10003,H200038,yes,reimbursement,26,34.651,2025-09-30
PL10003,H200733,yes,cashless,27,37.49,2025-09-30
PL10003,H200371,yes,cashless,28,24.438,2025-09-30
PL10003,H200854,yes,cashless,29,34.565,2025-09-30
PL10003,H200640,yes,cashless,30,31.432,2025-09-30
PL10003,H200834,yes,reimbursement,31,6.058,2025-09-30
PL10003,H200343,yes,cashless,32,1.153,2025-09-30
PL10003,H200723,yes,cashless,33,25.017,2025-09-30
PL10003,H200208,yes,cashless,34,14.874,2025-09-30
PL10003,H200506,yes,cashless,35,37.979,2025-09-30
PL10003,H200376,yes,cashless,36,42.994,2025-09-30
PL10003,H200141,yes,reimbursement,37,16.207,2025-09-30
PL10003,H200943,yes,cashless,38,6.696,2025-09-30
PL10003,H200226,yes,cashless,39,2.411,2025-09-30
PL10004,H200753,yes,reimbursement,1,42.607,2025-09-30
PL10004,H200651,yes,empanelled,2,21.214,2025-09-30
PL10004,H200074,yes,reimbursement,3,40.653,2025-09-30
PL10004,H200109,yes,reimbursement,4,10.468,2025-09-30
PL10004,H200191,yes,reimbursement,5,38.389,2025-09-30
PL10004,H200815,yes,reimbursement,6,41.125,2025-09-30
PL10004,H200456,yes,empanelled,7,3.316,2025-09-30
PL10004,H200600,yes,cashless,8,31.435,2025-09-30
PL10004,H200273,yes,reimbursement,9,14.788,2025-09-30
PL10004,H200348,yes,reimbursement,10,19.259,2025-09-30
PL10004,H200392,yes,reimbursement,11,3.264,2025-09-30
PL10004,H200583,yes,cashless,12,3.764,2025-09-30
PL10004,H200075,yes,empanelled,13,41.882,2025-09-30
PL10004,H200887,yes,reimbursement,14,4.522,2025-09-30
PL10004,H200261,yes,cashless,15,33.739,2025-09-30
PL10004,H200806,yes,reimbursement,16,35.219,2025-09-30
PL10004,H200237,yes,empanelled,17,3.986,2025-09-30
PL10004,H200989,yes,reimbursement,18,25.307,2025-09-30
PL10004,H200681,yes,empanelled,19,32.678,2025-09-30
PL10004,H200232,yes,cashless,20,28.887,2025-09-30
PL10004,H200843,yes,reimbursement,21,14.514,2025-09-30
PL10004,H200146,yes,reimbursement,22,43.942,2025-09-30
PL10004,H200358,yes,cashless,23,20.914,2025-09-30
PL10004,H200635,yes,reimbursement,24,5.077,2025-09-30
PL10004,H200140,yes,cashless,25,17.558,2025-09-30
PL10004,H200791,yes,cashless,26,35.454,2025-09-30
PL10004,H200589,yes,cashless,27,45.963,2025-09-30
PL10004,H200183,yes,cashless,28,27.12,2025-09-30
PL10004,H200218,yes,cashless,29,43.392,2025-09-30
PL10004,H200117,yes,cashless,30,1.795,2025-09-30
PL10004,H200927,yes,cashless,31,35.846,2025-09-30
PL10004,H200166,yes,cashless,32,15.312,2025-09-30
PL10004,H200277,yes,reimbursement,33,1.098,2025-09-30
PL10004,H200676,yes,cashless,34,9.001,2025-09-30
PL10004,H200766,yes,cashless,35,27.165,2025-09-30
PL10004,H200164,yes,reimbursement,36,2.833,2025-09-30
PL10004,H200617,yes,reimbursement,37,32.494,2025-09-30
PL10004,H200546,yes,reimbursement,38,31.876,2025-09-30
PL10004,H200178,yes,cashless,39,34.642,2025-09-30
PL10004,H200415,yes,empanelled,40,45.971,2025-09-30
PL10004,H200926,yes,reimbursement,41,17.214,2025-09-30
PL10004,H200626,yes,cashless,42,25.071,2025-09-30
PL10004,H200941,yes,reimbursement,43,3.761,2025-09-30
PL10004,H200787,yes,cashless,44,41.298,2025-09-30
PL10004,H200846,yes,cashless,45,15.004,2025-09-30
PL10004,H200981,yes,reimbursement,46,49.447,2025-09-30
PL10004,H200360,yes,reimbursement,47,1.489,2025-09-30
PL10004,H200508,yes,reimbursement,48,48.238,2025-09-30
PL10004,H200362,yes,reimbursement,49,35.472,2025-09-30
PL10004,H200689,yes,cashless,50,3.327,2025-09-30
PL10004,H200381,yes,cashless,51,7.383,2025-09-30
PL10004,H200289,yes,cashless,52,19.935,2025-09-30
PL10004,H200925,yes,reimbursement,53,26.32,2025-09-30
PL10004,H200486,yes,cashless,54,11.272,2025-09-30
PL10004,H200814,yes,cashless,55,26.35,2025-09-30
PL10004,H200417,yes,cashless,56,26.005,2025-09-30
PL10004,H200122,yes,cashless,57,32.907,2025-09-30
PL10004,H200777,yes,cashless,58,45.184,2025-09-30
PL10004,H200562,yes,cashless,59,4.65,2025-09-30
PL10004,H200094,yes,cashless,60,1.62,2025-09-30
PL10004,H200604,yes,cashless,61,18.878,2025-09-30
PL10004,H200474,yes,reimbursement,62,31.799,2025-09-30
PL10004,H200304,yes,cashless,63,10.776,2025-09-30
PL10004,H200928,yes,cashless,64,0.767,2025-09-30
PL10004,H200717,yes,reimbursement,65,40.835,2025-09-30
PL10004,H200227,yes,cashless,66,43.805,2025-09-30
PL10004,H200150,yes,reimbursement,67,19.416,2025-09-30
PL10004,H200785,yes,cashless,68,8.274,2025-09-30
PL10004,H200124,yes,reimbursement,69,36.29,2025-09-30
PL10004,H200594,yes,reimbursement,70,32.845,2025-09-30
PL10004,H200063,yes,reimbursement,71,35.063,2025-09-30
PL10004,H200310,yes,cashless,72,1.684,2025-09-30
PL10004,H200790,yes,reimbursement,73,31.62,2025-09-30
PL10004,H200233,yes,reimbursement,74,19.231,2025-09-30
PL10004,H200697,yes,empanelled,75,36.439,2025-09-30
PL10004,H200449,yes,cashless,76,14.422,2025-09-30
PL10005,H200390,yes,reimbursement,1,28.344,2025-09-30
PL10005,H200161,yes,reimbursement,2,44.362,2025-09-30
PL10005,H200491,yes,cashless,3,40.937,2025-09-30
PL10005,H200277,yes,reimbursement,4,29.942,2025-09-30
PL10005,H200609,yes,cashless,5,48.824,2025-09-30
PL10005,H200747,yes,reimbursement,6,0.738,2025-09-30
PL10005,H200275,yes,cashless,7,28.124,2025-09-30
PL10005,H200831,yes,cashless,8,12.794,2025-09-30
PL10005,H200236,yes,cashless,9,7.178,2025-09-30
PL10005,H200289,yes,reimbursement,10,46.728,2025-09-30
PL10005,H200365,yes,cashless,11,22.738,2025-09-30
PL10005,H200395,yes,reimbursement,12,21.971,2025-09-30
PL10005,H200593,yes,reimbursement,13,16.172,2025-09-30
PL10005,H200164,yes,cashless,14,1.14,2025-09-30
PL10005,H200765,yes,cashless,15,18.297,2025-09-30
PL10005,H200585,yes,reimbursement,16,28.824,2025-09-30
PL10005,H200017,yes,reimbursement,17,35.542,2025-09-30
PL10005,H200525,yes,reimbursement,18,33.498,2025-09-30
PL10006,H200653,yes,cashless,1,40.552,2025-09-30
PL10006,H200258,yes,cashless,2,24.354,2025-09-30
PL10006,H200940,yes,cashless,3,40.33,2025-09-30
PL10006,H200869,yes,cashless,4,2.727,2025-09-30
PL10006,H200695,yes,cashless,5,13.376,2025-09-30
PL10006,H200572,yes,reimbursement,6,45.811,2025-09-30
PL10006,H200224,yes,reimbursement,7,22.921,2025-09-30
PL10006,H200799,yes,reimbursement,8,16.308,2025-09-30
PL10006,H200774,yes,reimbursement,9,25.312,2025-09-30
PL10006,H200654,yes,reimbursement,10,49.494,2025-09-30
PL10006,H200300,yes,cashless,11,10.085,2025-09-30
PL10006,H200039,yes,cashless,12,28.31,2025-09-30
PL10006,H200227,yes,reimbursement,13,16.098,2025-09-30
PL10006,H200407,yes,reimbursement,14,20.722,2025-09-30
PL10006,H200432,yes,reimbursement,15,13.033,2025-09-30
PL10006,H200285,yes,cashless,16,37.537,2025-09-30
PL10006,H200916,yes,cashless,17,41.265,2025-09-30
PL10006,H200422,yes,reimbursement,18,41.969,2025-09-30
PL10006,H200119,yes,cashless,19,29.405,2025-09-30
PL10006,H200413,yes,reimbursement,20,17.044,2025-09-30
PL10006,H200952,yes,cashless,21,47.553,2025-09-30
PL10006,H200542,yes,reimbursement,22,3.395,2025-09-30
PL10006,H200966,yes,cashless,23,32.091,2025-09-30
PL10006,H200782,yes,reimbursement,24,40.215,2025-09-30
PL10006,H200699,yes,cashless,25,31.549,2025-09-30
PL10006,H200763,yes,cashless,26,30.386,2025-09-30
PL10006,H200931,yes,cashless,27,7.858,2025-09-30
PL10006,H200252,yes,cashless,28,20.411,2025-09-30
PL10006,H200780,yes,empanelled,29,16.221,2025-09-30
PL10006,H200121,yes,cashless,30,23.659,2025-09-30
PL10006,H200448,yes,reimbursement,31,0.14,2025-09-30
PL10007,H200006,yes,cashless,1,46.963,2025-09-30
PL10007,H200419,yes,cashless,2,37.674,2025-09-30
PL10007,H200841,yes,empanelled,3,45.205,2025-09-30
PL10007,H200335,yes,cashless,4,38.265,2025-09-30
PL10007,H200003,yes,cashless,5,24.294,2025-09-30
PL10007,H200845,yes,cashless,6,2.244,2025-09-30
PL10007,H200525,yes,cashless,7,20.896,2025-09-30
PL10007,H200078,yes,reimbursement,8,25.7,2025-09-30
PL10007,H200090,yes,cashless,9,27.802,2025-09-30
PL10007,H200252,yes,cashless,10,41.069,2025-09-30
PL10007,H200011,yes,reimbursement,11,24.202,2025-09-30
PL10007,H200837,yes,cashless,12,12.536,2025-09-30
PL10007,H200476,yes,cashless,13,42.459,2025-09-30
PL10007,H200429,yes,cashless,14,49.9,2025-09-30
PL10007,H200127,yes,cashless,15,6.648,2025-09-30
PL10007,H200791,yes,cashless,16,22.451,2025-09-30
PL10007,H200522,yes,cashless,17,28.77,2025-09-30
PL10007,H200269,yes,reimbursement,18,9.336,2025-09-30
PL10007,H200736,yes,cashless,19,29.162,2025-09-30
PL10007,H200513,yes,reimbursement,20,10.61,2025-09-30
PL10007,H200574,yes,cashless,21,8.006,2025-09-30
PL10007,H200299,yes,cashless,22,46.357,2025-09-30
PL10007,H200036,yes,cashless,23,45.552,2025-09-30
PL10007,H200647,yes,reimbursement,24,7.054,2025-09-30
PL10007,H200577,yes,reimbursement,25,23.557,2025-09-30
PL10007,H200854,yes,cashless,26,40.378,2025-09-30
PL10007,H200989,yes,reimbursement,27,34.28,2025-09-30
PL10007,H200818,yes,reimbursement,28,19.744,2025-09-30
PL10007,H200937,yes,reimbursement,29,24.23,2025-09-30
PL10007,H200295,yes,empanelled,30,40.22,2025-09-30
PL10007,H200554,yes,cashless,31,17.064,2025-09-30
PL10007,H200742,yes,reimbursement,32,14.673,2025-09-30
PL10007,H200639,yes,cashless,33,39.782,2025-09-30
PL10007,H200721,yes,cashless,34,9.578,2025-09-30
PL10007,H200861,yes,cashless,35,16.344,2025-09-30
PL10007,H200209,yes,cashless,36,26.155,2025-09-30
PL10007,H200350,yes,reimbursement,37,39.487,2025-09-30
PL10007,H200610,yes,cashless,38,21.035,2025-09-30
PL10007,H200048,yes,reimbursement,39,7.496,2025-09-30
PL10007,H200080,yes,reimbursement,40,21.198,2025-09-30
PL10007,H200146,yes,reimbursement,41,0.62,2025-09-30
PL10007,H200581,yes,cashless,42,37.919,2025-09-30
PL10007,H200774,yes,cashless,43,31.296,2025-09-30
PL10007,H200323,yes,reimbursement,44,34.42,2025-09-30
PL10007,H200062,yes,reimbursement,45,44.835,2025-09-30
PL10007,H200891,yes,reimbursement,46,5.435,2025-09-30
PL10007,H200727,yes,cashless,47,10.206,2025-09-30
PL10007,H200907,yes,cashless,48,12.295,2025-09-30
PL10007,H200156,yes,reimbursement,49,16.205,2025-09-30
PL10007,H200149,yes,cashless,50,25.85,2025-09-30
PL10007,H200374,yes,empanelled,51,25.215,2025-09-30
PL10007,H200211,yes,cashless,52,45.929,2025-09-30
PL10007,H200248,yes,empanelled,53,25.109,2025-09-30
PL10007,H200464,yes,empanelled,54,11.103,2025-09-30
PL10007,H200064,yes,reimbursement,55,13.436,2025-09-30
PL10007,H200229,yes,cashless,56,5.642,2025-09-30
PL10007,H200416,yes,reimbursement,57,29.67,2025-09-30
PL10007,H200301,yes,reimbursement,58,45.427,2025-09-30
PL10007,H200526,yes,cashless,59,37.632,2025-09-30
PL10008,H200461,yes,cashless,1,47.519,2025-09-30
PL10008,H200385,yes,cashless,2,45.607,2025-09-30
PL10008,H200572,yes,cashless,3,16.881,2025-09-30
PL10008,H200344,yes,cashless,4,10.068,2025-09-30
PL10008,H200624,yes,cashless,5,6.242,2025-09-30
PL10008,H200758,yes,cashless,6,16.371,2025-09-30
PL10008,H200359,yes,cashless,7,49.022,2025-09-30
PL10008,H200898,yes,cashless,8,5.433,2025-09-30
PL10008,H200529,yes,cashless,9,35.559,2025-09-30
PL10008,H200515,yes,cashless,10,25.459,2025-09-30
PL10008,H200849,yes,cashless,11,11.028,2025-09-30
PL10008,H200934,yes,cashless,12,9.345,2025-09-30
PL10008,H200519,yes,cashless,13,35.906,2025-09-30
PL10008,H200944,yes,cashless,14,49.131,2025-09-30
PL10008,H200491,yes,cashless,15,25.724,2025-09-30
PL10008,H200102,yes,cashless,16,21.585,2025-09-30
PL10008,H200480,yes,reimbursement,17,21.475,2025-09-30
PL10008,H200107,yes,reimbursement,18,17.656,2025-09-30
PL10008,H200902,yes,cashless,19,8.023,2025-09-30
PL10008,H200016,yes,empanelled,20,49.772,2025-09-30
PL10008,H200694,yes,cashless,21,40.878,2025-09-30
PL10008,H200631,yes,cashless,22,23.616,2025-09-30
PL10008,H200174,yes,empanelled,23,34.87,2025-09-30
PL10008,H200223,yes,cashless,24,20.744,2025-09-30
PL10008,H200818,yes,cashless,25,24.232,2025-09-30
PL10008,H200082,yes,cashless,26,5.944,2025-09-30
PL10008,H200750,yes,cashless,27,20.779,2025-09-30
PL10008,H200029,yes,reimbursement,28,47.965,2025-09-30
PL10008,H200465,yes,reimbursement,29,24.398,2025-09-30
PL10008,H200528,yes,cashless,30,23.166,2025-09-30
PL10008,H200449,yes,reimbursement,31,6.178,2025-09-30
PL10008,H200065,yes,cashless,32,38.252,2025-09-30
PL10008,H200028,yes,cashless,33,32.541,2025-09-30
PL10009,H200299,yes,cashless,1,41.059,2025-09-30
PL10009,H200515,yes,cashless,2,7.166,2025-09-30
PL10009,H200880,yes,cashless,3,14.491,2025-09-30
PL10009,H200300,yes,cashless,4,40.091,2025-09-30
PL10009,H200449,yes,cashless,5,10.61,2025-09-30
PL10009,H200672,yes,cashless,6,28.434,2025-09-30
PL10009,H200532,yes,reimbursement,7,13.797,2025-09-30
PL10009,H200436,yes,cashless,8,27.42,2025-09-30
PL10009,H200075,yes,empanelled,9,20.91,2025-09-30
PL10009,H200365,yes,empanelled,10,34.286,2025-09-30
PL10009,H200878,yes,cashless,11,28.569,2025-09-30
PL10009,H200432,yes,cashless,12,19.285,2025-09-30
PL10009,H200186,yes,cashless,13,30.37,2025-09-30
PL10009,H200856,yes,cashless,14,24.398,2025-09-30
PL10009,H200132,yes,reimbursement,15,13.816,2025-09-30
PL10009,H200083,yes,cashless,16,6.464,2025-09-30
PL10009,H200065,yes,cashless,17,19.973,2025-09-30
PL10009,H200871,yes,cashless,18,19.152,2025-09-30
PL10009,H200202,yes,cashless,19,26.953,2025-09-30
PL10009,H200573,yes,reimbursement,20,42.964,2025-09-30
PL10009,H200166,yes,cashless,21,39.296,2025-09-30
PL10009,H200256,yes,cashless,22,18.033,2025-09-30
PL10009,H200227,yes,cashless,23,11.487,2025-09-30
PL10009,H200140,yes,empanelled,24,41.05,2025-09-30
PL10009,H200195,yes,reimbursement,25,11.281,2025-09-30
PL10009,H200606,yes,cashless,26,7.444,2025-09-30
PL10009,H200671,yes,empanelled,27,19.24,2025-09-30
PL10009,H200508,yes,cashless,28,32.092,2025-09-30
PL10009,H200635,yes,reimbursement,29,32.786,2025-09-30
PL10009,H200292,yes,cashless,30,42.847,2025-09-30
PL10009,H200248,yes,cashless,31,5.478,2025-09-30
PL10009,H200745,yes,cashless,32,5.682,2025-09-30
PL10009,H200243,yes,reimbursement,33,17.273,2025-09-30
PL10009,H200709,yes,reimbursement,34,46.805,2025-09-30
PL10009,H200163,yes,reimbursement,35,22.316,2025-09-30
PL10010,H200549,yes,cashless,1,43.38,2025-09-30
PL10010,H200952,yes,reimbursement,2,47.608,2025-09-30
PL10010,H200789,yes,empanelled,3,27.275,2025-09-30
PL10010,H200240,yes,cashless,4,49.778,2025-09-30
PL10010,H200643,yes,cashless,5,36.581,2025-09-30
PL10010,H200873,yes,cashless,6,10.969,2025-09-30
PL10010,H200821,yes,cashless,7,16.23,2025-09-30
PL10010,H200514,yes,reimbursement,8,43.932,2025-09-30
PL10010,H200283,yes,reimbursement,9,23.213,2025-09-30
PL10010,H200429,yes,reimbursement,10,20.669,2025-09-30
PL10010,H200576,yes,reimbursement,11,15.752,2025-09-30
PL10010,H200745,yes,reimbursement,12,36.174,2025-09-30
PL10010,H200202,yes,empanelled,13,10.51,2025-09-30
PL10011,H200219,yes,reimbursement,1,12.884,2025-09-30
PL10011,H200857,yes,cashless,2,36.778,2025-09-30
PL10011,H200946,yes,reimbursement,3,46.018,2025-09-30
PL10011,H200647,yes,cashless,4,14.825,2025-09-30
PL10011,H200602,yes,cashless,5,5.69,2025-09-30
PL10011,H200028,yes,empanelled,6,27.376,2025-09-30
PL10011,H200689,yes,cashless,7,29.898,2025-09-30
PL10011,H200824,yes,cashless,8,11.428,2025-09-30
PL10011,H200168,yes,cashless,9,2.571,2025-09-30
PL10011,H200922,yes,reimbursement,10,30.159,2025-09-30
PL10011,H200169,yes,reimbursement,11,33.762,2025-09-30
PL10011,H200494,yes,cashless,12,6.498,2025-09-30
PL10011,H200960,yes,cashless,13,40.495,2025-09-30
PL10011,H200077,yes,reimbursement,14,43.547,2025-09-30
PL10011,H200675,yes,cashless,15,20.854,2025-09-30
PL10011,H200511,yes,cashless,16,10.591,2025-09-30
