hospital_id,name,state,city,pincode,bed_count,specialties,address,latitude,longitude,is_empanelled_public,created_at
H200025,Madurai Health Institute 4084,Tamil Nadu,Madurai,300025,929,"ENT,Cardiology,Gastroenterology,Nephrology",198 Madurai Medical Road,14.555567,85.616217,no,2025-09-30
H200026,Vadodara Health Institute 92,Gujarat,Vadodara,300026,1077,"General Medicine,Gastroenterology,Orthopedics,Pediatrics",104 Vadodara Medical Road,27.759287,74.044277,no,2025-09-30
H200027,Patna Health Institute 9196,Bihar,Patna,300027,532,"Cardiology,Neurology,Orthopedics",287 Patna Medical Road,8.146239,71.026701,no,2025-09-30
H200028,Siliguri Health Institute 3493,West Bengal,Siliguri,300028,282,"Nephrology,Oncology,General Medicine,Cardiology",220 Siliguri Medical Road,17.833045,81.644111,no,2025-09-30
H200029,Guwahati Health Institute 8226,Assam,Guwahati,300029,598,"Gastroenterology,Nephrology",82 Guwahati Medical Road,30.483383,68.950106,yes,2025-09-30
H200030,Madurai Health Institute 5157,Tamil Nadu,Madurai,300030,865,"Gastroenterology,Cardiology,Neurology,Pediatrics,General Medicine",221 Madurai Medical Road,13.746891,80.413551,no,2025-09-30
H200031,Asansol Health Institute 235,West Bengal,Asansol,300031,748,"Oncology,Orthopedics,Neurology",83 Asansol Medical Road,15.799947,80.545268,no,2025-09-30
H200032,Mangalore Health Institute 4019,Karnataka,Mangalore,300032,957,"Pediatrics,ENT",255 Mangalore Medical Road,11.427972,83.348074,no,2025-09-30
H200033,Kozhikode Health Institute 2168,Kerala,Kozhikode,300033,1041,"General Medicine,Gastroenterology,ENT,Orthopedics,Cardiology",210 Kozhikode Medical Road,32.414711,72.508552,no,2025-09-30
H200034,Ranchi Health Institute 9752,Jharkhand,Ranchi,300034,488,"Pediatrics,Cardiology,Gastroenterology,ENT,Oncology",24 Ranchi Medical Road,27.015631,87.706377,no,2025-09-30
H200035,Tiruchirappalli Health Institute 2051,Tamil Nadu,Tiruchirappalli,300035,778,"Neurology,Nephrology",1 Tiruchirappalli Medical Road,10.391179,73.216678,no,2025-09-30
H200036,Warangal Health Institute 5681,Telangana,Warangal,300036,665,"General Medicine,Cardiology,Oncology,Neurology,Pediatrics",162 Warangal Medical Road,13.892014,69.988674,no,2025-09-30
H200037,Mysuru Health Institute 2310,Karnataka,Mysuru,300037,1100,"Oncology,Neurology,ENT",131 Mysuru Medical Road,31.153762,68.943242,no,2025-09-30
H200038,Asansol Health Institute 3823,West Bengal,Asansol,300038,111,"General Medicine,Nephrology,Cardiology",194 Asansol Medical Road,18.60936,76.416924,no,2025-09-30
H200039,Asansol Health Institute 8357,West Bengal,Asansol,300039,1078,"Gastroenterology,Cardiology,Orthopedics",39 Asansol Medical Road,26.538318,68.448557,no,2025-09-30
H200040,Patna Health Institute 5913,Bihar,Patna,300040,720,"Oncology,Neurology,Nephrology",170 Patna Medical Road,18.1442,74.631211,no,2025-09-30
H200041,Vadodara Health Institute 2163,Gujarat,Vadodara,300041,807,"Gastroenterology,Orthopedics",132 Vadodara Medical Road,11.408543,81.673244,no,2025-09-30
H200042,Warangal Health Institute 4749,Telangana,Warangal,300042,24,"ENT,Neurology,Gastroenterology,General Medicine",56 Warangal Medical Road,24.007995,71.396999,no,2025-09-30
H200043,Ahmedabad Health Institute 9612,Gujarat,Ahmedabad,300043,243,"ENT,Orthopedics",24 Ahmedabad Medical Road,19.229645,70.42136,no,2025-09-30
H200044,Asansol Health Institute 8539,West Bengal,Asansol,300044,481,"Cardiology,ENT,Nephrology",143 Asansol Medical Road,14.098064,70.394621,no,2025-09-30
H200045,Cuttack Health Institute 3498,Odisha,Cuttack,300045,785,"Oncology,General Medicine,Orthopedics,Pediatrics,Nephrology",222 Cuttack Medical Road,19.272641,77.707742,yes,2025-09-30
H200046,Ranchi Health Institute 9631,Jharkhand,Ranchi,300046,114,"Orthopedics,Neurology,Cardiology,General Medicine",299 Ranchi Medical Road,28.307506,84.092075,no,2025-09-30
H200047,Kolkata Health Institute 77,West Bengal,Kolkata,300047,228,"General Medicine,Nephrology,Orthopedics",63 Kolkata Medical Road,28.726236,73.971683,no,2025-09-30
H200048,Nashik Health Institute 9968,Maharashtra,Nashik,300048,480,"Cardiology,General Medicine,Gastroenterology,Pediatrics",211 Nashik Medical Road,10.494732,76.872398,yes,2025-09-30
H200049,Bhubaneswar Health Institute 7393,Odisha,Bhubaneswar,300049,691,"Orthopedics,ENT,Gastroenterology,Cardiology,Neurology",74 Bhubaneswar Medical Road,18.814257,84.747497,no,2025-09-30
H200050,Agra Health Institute 227,Uttar Pradesh,Agra,300050,965,"Cardiology,Gastroenterology,ENT,Orthopedics",62 Agra Medical Road,23.210414,69.518385,no,2025-09-30
H200051,Tiruchirappalli Health Institute 5300,Tamil Nadu,Tiruchirappalli,300051,1162,"Orthopedics,Neurology,Pediatrics,Nephrology,Gastroenterology",13 Tiruchirappalli Medical Road,11.682404,71.416605,no,2025-09-30
H200052,Coimbatore Health Institute 6682,Tamil Nadu,Coimbatore,300052,46,"Gastroenterology,ENT,Oncology",170 Coimbatore Medical Road,22.088109,76.403615,no,2025-09-30
H200053,Mysuru Health Institute 1590,Karnataka,Mysuru,300053,770,"General Medicine,Oncology,ENT,Nephrology,Neurology",280 Mysuru Medical Road,28.462778,70.078932,no,2025-09-30
H200054,Guwahati Health Institute 2154,Assam,Guwahati,300054,105,"Orthopedics,Nephrology",225 Guwahati Medical Road,31.520025,79.337039,yes,2025-09-30
H200055,Amritsar Health Institute 5354,Punjab,Amritsar,300055,723,"Nephrology,Gastroenterology,Orthopedics,Pediatrics,ENT",218 Amritsar Medical Road,9.99368,83.65868,no,2025-09-30
H200056,North Delhi Health Institute 4405,Delhi,North Delhi,300056,1133,"Gastroenterology,Pediatrics,Oncology,Orthopedics",273 North Delhi Medical Road,16.827119,71.640102,yes,2025-09-30
H200057,Guwahati Health Institute 7530,Assam,Guwahati,300057,943,"ENT,Neurology,Pediatrics",125 Guwahati Medical Road,28.440979,77.186559,no,2025-09-30
H200058,Gurgaon Health Institute 402,Haryana,Gurgaon,300058,742,"General Medicine,Neurology,Pediatrics,Nephrology,Cardiology",192 Gurgaon Medical Road,22.625965,80.552059,no,2025-09-30
H200059,Nagpur Health Institute 6494,Maharashtra,Nagpur,300059,1046,"Neurology,Pediatrics,Orthopedics",175 Nagpur Medical Road,18.556939,72.896811,no,2025-09-30
H200060,Guwahati Health Institute 3821,Assam,Guwahati,300060,488,"Gastroenterology,Orthopedics,ENT",21 Guwahati Medical Road,31.597988,82.153491,no,2025-09-30
H200061,Guwahati Health Institute 2226,Assam,Guwahati,300061,974,"Neurology,Pediatrics,General Medicine,ENT",82 Guwahati Medical Road,11.353826,70.452272,no,2025-09-30
H200062,Ludhiana Health Institute 7121,Punjab,Ludhiana,300062,700,"Neurology,ENT,General Medicine,Nephrology",102 Ludhiana Medical Road,19.114203,70.337756,no,2025-09-30
H200063,Patna Health Institute 2037,Bihar,Patna,300063,583,"Pediatrics,Neurology,Oncology",291 Patna Medical Road,32.099452,77.561437,yes,2025-09-30
H200064,Warangal Health Institute 5450,Telangana,Warangal,300064,20,"Nephrology,General Medicine,Pediatrics,Orthopedics",125 Warangal Medical Road,8.55403,82.214473,no,2025-09-30
H200065,Kanpur Health Institute 4791,Uttar Pradesh,Kanpur,300065,938,"General Medicine,Nephrology,Pediatrics,Oncology,Gastroenterology",289 Kanpur Medical Road,22.130871,83.676816,no,2025-09-30
H200066,Faridabad Health Institute 8476,Haryana,Faridabad,300066,52,"Nephrology,Neurology",155 Faridabad Medical Road,11.424503,76.408953,no,2025-09-30
H200067,Jodhpur Health Institute 5404,Rajasthan,Jodhpur,300067,356,"Pediatrics,Orthopedics,Gastroenterology,Cardiology,Neurology",220 Jodhpur Medical Road,26.235406,87.692683,no,2025-09-30
H200068,Kochi Health Institute 7041,Kerala,Kochi,300068,192,"ENT,Orthopedics,Oncology",299 Kochi Medical Road,24.021597,68.195301,no,2025-09-30
H200069,Warangal Health Institute 197,Telangana,Warangal,300069,661,"Oncology,Gastroenterology,General Medicine,Orthopedics,Pediatrics",111 Warangal Medical Road,21.646147,68.146783,no,2025-09-30
H200070,Patna Health Institute 2612,Bihar,Patna,300070,398,"ENT,Cardiology,Neurology,Oncology",44 Patna Medical Road,32.191612,75.610021,no,2025-09-30
H200071,Tiruchirappalli Health Institute 1239,Tamil Nadu,Tiruchirappalli,300071,242,"General Medicine,Orthopedics,Gastroenterology",30 Tiruchirappalli Medical Road,32.542023,72.973095,no,2025-09-30
H200072,Udaipur Health Institute 9847,Rajasthan,Udaipur,300072,245,"Orthopedics,Pediatrics,ENT,Gastroenterology,Neurology",146 Udaipur Medical Road,24.890382,69.446767,no,2025-09-30
H200073,Guwahati Health Institute 5031,Assam,Guwahati,300073,23,"Oncology,Pediatrics,Gastroenterology",16 Guwahati Medical Road,14.680356,86.71069,yes,2025-09-30
H200074,Faridabad Health Institute 196,Haryana,Faridabad,300074,1068,"Cardiology,Nephrology",203 Faridabad Medical Road,26.86444,84.763268,no,2025-09-30
H200075,Gurgaon Health Institute 9476,Haryana,Gurgaon,300075,727,"Cardiology,Pediatrics,Oncology,Gastroenterology,General Medicine",268 Gurgaon Medical Road,16.417238,87.473921,no,2025-09-30
H200076,Gurgaon Health Institute 5172,Haryana,Gurgaon,300076,1140,"Pediatrics,Oncology,General Medicine,Neurology",94 Gurgaon Medical Road,9.225284,85.411146,no,2025-09-30
H200077,Vadodara Health Institute 1422,Gujarat,Vadodara,300077,199,"Nephrology,Oncology,ENT",202 Vadodara Medical Road,8.272291,84.230766,no,2025-09-30
H200078,Cuttack Health Institute 1209,Odisha,Cuttack,300078,127,"Cardiology,Nephrology",120 Cuttack Medical Road,26.912189,68.035842,no,2025-09-30
H200079,Noida Health Institute 3033,Uttar Pradesh,Noida,300079,742,"Cardiology,Neurology,General Medicine,Gastroenterology",183 Noida Medical Road,30.675197,77.289665,no,2025-09-30
H200080,Ranchi Health Institute 6922,Jharkhand,Ranchi,300080,272,"ENT,Gastroenterology,Oncology",160 Ranchi Medical Road,19.60048,76.105356,no,2025-09-30
H200081,Raipur Health Institute 9824,Chhattisgarh,Raipur,300081,825,"Nephrology,Cardiology,General Medicine,Orthopedics,ENT",130 Raipur Medical Road,28.185663,78.280618,no,2025-09-30
H200082,Raipur Health Institute 7438,Chhattisgarh,Raipur,300082,555,"ENT,Oncology",132 Raipur Medical Road,27.707843,68.392816,no,2025-09-30
H200083,Amritsar Health Institute 4727,Punjab,Amritsar,300083,346,"Orthopedics,Neurology,Cardiology,Nephrology",61 Amritsar Medical Road,16.993923,72.975664,no,2025-09-30
H200084,Patna Health Institute 7260,Bihar,Patna,300084,755,"Nephrology,General Medicine",255 Patna Medical Road,24.848583,85.431585,no,2025-09-30
H200085,Surat Health Institute 9881,Gujarat,Surat,300085,414,"Neurology,Oncology,ENT,Cardiology",276 Surat Medical Road,19.0066,87.521383,no,2025-09-30
H200086,Patna Health Institute 349,Bihar,Patna,300086,386,"General Medicine,Cardiology,Pediatrics",264 Patna Medical Road,12.62115,82.978813,no,2025-09-30
H200087,Chandigarh Health Institute 285,Punjab,Chandigarh,300087,181,"ENT,Orthopedics,Neurology,Gastroenterology",237 Chandigarh Medical Road,18.667562,73.101474,no,2025-09-30
H200088,South Delhi Health Institute 6576,Delhi,South Delhi,300088,1138,"Pediatrics,ENT,Nephrology,Neurology,General Medicine",1 South Delhi Medical Road,25.393867,80.434415,no,2025-09-30
H200089,Pune Health Institute 6765,Maharashtra,Pune,300089,915,"Orthopedics,General Medicine,ENT,Gastroenterology,Nephrology",276 Pune Medical Road,18.615652,84.758897,no,2025-09-30
H200090,Raipur Health Institute 9996,Chhattisgarh,Raipur,300090,810,"Cardiology,ENT,Pediatrics,General Medicine",174 Raipur Medical Road,29.269376,83.86237,no,2025-09-30
H200091,Raipur Health Institute 6445,Chhattisgarh,Raipur,300091,148,"Orthopedics,Pediatrics,Cardiology,General Medicine",287 Raipur Medical Road,10.886757,74.216951,no,2025-09-30
H200092,Gurgaon Health Institute 4686,Haryana,Gurgaon,300092,730,"Neurology,Oncology,Gastroenterology",241 Gurgaon Medical Road,11.619465,78.234731,no,2025-09-30
H200093,Patna Health Institute 9038,Bihar,Patna,300093,1059,"ENT,General Medicine",12 Patna Medical Road,32.224978,68.865339,no,2025-09-30
H200094,Cuttack Health Institute 4279,Odisha,Cuttack,300094,652,"Gastroenterology,ENT",108 Cuttack Medical Road,13.764846,73.070646,no,2025-09-30
H200095,Siliguri Health Institute 7233,West Bengal,Siliguri,300095,892,"General Medicine,Neurology",35 Siliguri Medical Road,30.564401,79.839052,no,2025-09-30
H200096,Thiruvananthapuram Health Institute 8321,Kerala,Thiruvananthapuram,300096,45,"Gastroenterology,General Medicine,Nephrology",294 Thiruvananthapuram Medical Road,22.875333,71.800496,no,2025-09-30
H200097,Bhubaneswar Health Institute 4293,Odisha,Bhubaneswar,300097,720,"Pediatrics,General Medicine",109 Bhubaneswar Medical Road,27.826935,70.441567,no,2025-09-30
H200098,Cuttack Health Institute 2816,Odisha,Cuttack,300098,61,"Nephrology,Gastroenterology",9 Cuttack Medical Road,19.026692,85.600958,no,2025-09-30
H200099,Ludhiana Health Institute 3043,Punjab,Ludhiana,300099,116,"Oncology,ENT,General Medicine,Neurology,Gastroenterology",257 Ludhiana Medical Road,28.434592,78.245255,no,2025-09-30
H200100,Kanpur Health Institute 1362,Uttar Pradesh,Kanpur,300100,323,"Orthopedics,Cardiology,Pediatrics,Neurology,Nephrology",178 Kanpur Medical Road,19.716882,80.41515,no,2025-09-30
H200101,Thiruvananthapuram Health Institute 2448,Kerala,Thiruvananthapuram,300101,187,"Orthopedics,Oncology,Nephrology",28 Thiruvananthapuram Medical Road,11.676222,87.113045,no,2025-09-30
H200102,Gurgaon Health Institute 8047,Haryana,Gurgaon,300102,782,"Nephrology,General Medicine",15 Gurgaon Medical Road,10.695247,76.642078,no,2025-09-30
H200103,Faridabad Health Institute 661,Haryana,Faridabad,300103,1181,"Cardiology,ENT,Oncology",171 Faridabad Medical Road,31.137116,87.027276,no,2025-09-30
H200104,Jaipur Health Institute 5080,Rajasthan,Jaipur,300104,509,"General Medicine,ENT,Cardiology,Oncology,Gastroenterology",190 Jaipur Medical Road,25.354874,83.793588,yes,2025-09-30
H200105,Agra Health Institute 2450,Uttar Pradesh,Agra,300105,433,"Neurology,General Medicine,Nephrology",122 Agra Medical Road,17.561878,70.838419,no,2025-09-30
H200106,North Delhi Health Institute 9495,Delhi,North Delhi,300106,627,"Orthopedics,Neurology,Oncology,Cardiology",227 North Delhi Medical Road,19.496291,77.740947,no,2025-09-30
H200107,Mangalore Health Institute 8889,Karnataka,Mangalore,300107,567,"Oncology,Neurology,ENT",187 Mangalore Medical Road,30.719504,71.856326,yes,2025-09-30
H200108,Chandigarh Health Institute 3727,Punjab,Chandigarh,300108,424,"General Medicine,Oncology,Nephrology,Cardiology,Orthopedics",88 Chandigarh Medical Road,18.153253,77.92188,no,2025-09-30
H200109,Faridabad Health Institute 3276,Haryana,Faridabad,300109,954,"Gastroenterology,General Medicine,Oncology,Nephrology",32 Faridabad Medical Road,10.117667,75.236204,no,2025-09-30
H200110,Chandigarh Health Institute 6296,Punjab,Chandigarh,300110,305,"Cardiology,Orthopedics",92 Chandigarh Medical Road,28.473068,85.777149,no,2025-09-30
H200111,Siliguri Health Institute 5340,West Bengal,Siliguri,300111,305,"General Medicine,Pediatrics",277 Siliguri Medical Road,28.984493,72.401877,no,2025-09-30
H200112,Bhubaneswar Health Institute 8438,Odisha,Bhubaneswar,300112,458,"Gastroenterology,Pediatrics",298 Bhubaneswar Medical Road,11.131875,75.769495,no,2025-09-30
H200113,Kolkata Health Institute 6698,West Bengal,Kolkata,300113,670,"Oncology,Cardiology,Orthopedics,Nephrology,Gastroenterology",174 Kolkata Medical Road,9.262226,69.658163,no,2025-09-30
H200114,Bengaluru Health Institute 3144,Karnataka,Bengaluru,300114,1039,"Gastroenterology,Cardiology,Orthopedics,Oncology,General Medicine",127 Bengaluru Medical Road,14.660171,77.031153,no,2025-09-30
H200115,Gaya Health Institute 9183,Bihar,Gaya,300115,865,"Oncology,Cardiology",141 Gaya Medical Road,10.36351,77.566485,no,2025-09-30
H200116,Jodhpur Health Institute 1161,Rajasthan,Jodhpur,300116,561,"Oncology,Neurology",169 Jodhpur Medical Road,8.965144,78.65136,yes,2025-09-30
H200117,Thiruvananthapuram Health Institute 7901,Kerala,Thiruvananthapuram,300117,675,"Gastroenterology,Cardiology",6 Thiruvananthapuram Medical Road,14.868254,87.218478,no,2025-09-30
H200118,Tiruchirappalli Health Institute 6929,Tamil Nadu,Tiruchirappalli,300118,702,"ENT,Neurology,Gastroenterology",140 Tiruchirappalli Medical Road,22.771392,85.218458,no,2025-09-30
H200119,Raipur Health Institute 1214,Chhattisgarh,Raipur,300119,1075,"Cardiology,General Medicine,Orthopedics,Neurology,Nephrology",64 Raipur Medical Road,22.928647,73.383374,no,2025-09-30
H200120,Raipur Health Institute 1909,Chhattisgarh,Raipur,300120,610,"Cardiology,Gastroenterology,Neurology,Pediatrics,ENT",247 Raipur Medical Road,22.083031,86.648552,no,2025-09-30
H200121,Madurai Health Institute 3396,Tamil Nadu,Madurai,300121,1087,"Neurology,Pediatrics",221 Madurai Medical Road,19.08191,87.585409,no,2025-09-30
H200122,Tiruchirappalli Health Institute 1962,Tamil Nadu,Tiruchirappalli,300122,891,"General Medicine,Gastroenterology,Cardiology",297 Tiruchirappalli Medical Road,29.472086,83.776037,no,2025-09-30
H200123,Jodhpur Health Institute 1786,Rajasthan,Jodhpur,300123,706,"Cardiology,General Medicine,Pediatrics,ENT,Gastroenterology",213 Jodhpur Medical Road,29.373068,74.298237,no,2025-09-30
H200124,Mangalore Health Institute 2087,Karnataka,Mangalore,300124,678,"Oncology,Orthopedics,Cardiology,General Medicine",290 Mangalore Medical Road,24.680187,73.415672,no,2025-09-30
H200125,North Delhi Health Institute 2185,Delhi,North Delhi,300125,667,"Neurology,Oncology,Cardiology,General Medicine,Gastroenterology",188 North Delhi Medical Road,27.479734,82.23882,no,2025-09-30
H200126,Raipur Health Institute 3656,Chhattisgarh,Raipur,300126,100,"General Medicine,Cardiology,Pediatrics,Oncology",93 Raipur Medical Road,20.908798,78.814418,no,2025-09-30
H200127,Bengaluru Health Institute 3098,Karnataka,Bengaluru,300127,1032,"Pediatrics,Oncology,General Medicine,Neurology,ENT",286 Bengaluru Medical Road,14.85123,83.531527,no,2025-09-30
H200128,Thiruvananthapuram Health Institute 5432,Kerala,Thiruvananthapuram,300128,413,"Pediatrics,Neurology,Orthopedics,Gastroenterology,Cardiology",177 Thiruvananthapuram Medical Road,22.446452,81.459111,no,2025-09-30
H200129,Pune Health Institute 4944,Maharashtra,Pune,300129,1135,"Pediatrics,Oncology,Gastroenterology,Orthopedics",267 Pune Medical Road,28.013076,73.452779,no,2025-09-30
H200130,Cuttack Health Institute 9882,Odisha,Cuttack,300130,120,"Nephrology,Gastroenterology",162 Cuttack Medical Road,19.164193,84.87589,no,2025-09-30
H200131,Jaipur Health Institute 8876,Rajasthan,Jaipur,300131,611,"Cardiology,Orthopedics,Neurology,ENT,Nephrology",89 Jaipur Medical Road,21.575136,76.794523,no,2025-09-30
H200132,Faridabad Health Institute 8374,Haryana,Faridabad,300132,112,"Cardiology,General Medicine,ENT",232 Faridabad Medical Road,30.168149,81.957025,no,2025-09-30
H200133,Bhubaneswar Health Institute 5571,Odisha,Bhubaneswar,300133,835,"Orthopedics,Pediatrics,ENT,General Medicine,Cardiology",158 Bhubaneswar Medical Road,18.612186,85.348578,no,2025-09-30
H200134,Jaipur Health Institute 7276,Rajasthan,Jaipur,300134,543,"Oncology,Cardiology",250 Jaipur Medical Road,9.826376,86.364719,no,2025-09-30
H200135,Kochi Health Institute 942,Kerala,Kochi,300135,950,"ENT,Cardiology",7 Kochi Medical Road,32.020416,79.783677,no,2025-09-30
H200136,Bhubaneswar Health Institute 9566,Odisha,Bhubaneswar,300136,277,"Pediatrics,Gastroenterology,ENT",158 Bhubaneswar Medical Road,12.707041,68.835958,no,2025-09-30
H200137,Ranchi Health Institute 47,Jharkhand,Ranchi,300137,298,"Pediatrics,Cardiology,General Medicine,Gastroenterology",89 Ranchi Medical Road,15.578785,70.064307,no,2025-09-30
H200138,Kochi Health Institute 4340,Kerala,Kochi,300138,130,"Cardiology,Oncology",205 Kochi Medical Road,24.290487,87.666129,no,2025-09-30
H200139,Mumbai Health Institute 7270,Maharashtra,Mumbai,300139,611,"Oncology,Orthopedics,Cardiology,Gastroenterology",283 Mumbai Medical Road,22.776875,83.629846,no,2025-09-30
H200140,Mangalore Health Institute 4982,Karnataka,Mangalore,300140,424,"Gastroenterology,Cardiology",264 Mangalore Medical Road,21.136421,85.672205,no,2025-09-30
H200141,Cuttack Health Institute 5148,Odisha,Cuttack,300141,665,"Pediatrics,Nephrology,Orthopedics",4 Cuttack Medical Road,24.956483,77.051459,no,2025-09-30
H200142,Tiruchirappalli Health Institute 2831,Tamil Nadu,Tiruchirappalli,300142,642,"ENT,Cardiology,Neurology",299 Tiruchirappalli Medical Road,27.139408,83.31195,yes,2025-09-30
H200143,Vadodara Health Institute 8147,Gujarat,Vadodara,300143,587,"Cardiology,Oncology,Neurology,Pediatrics",102 Vadodara Medical Road,8.014565,86.805839,yes,2025-09-30
H200144,New Delhi Health Institute 9454,Delhi,New Delhi,300144,972,"Gastroenterology,Cardiology,Nephrology,Orthopedics",215 New Delhi Medical Road,16.793295,78.642471,no,2025-09-30
H200145,Mysuru Health Institute 5403,Karnataka,Mysuru,300145,306,"Cardiology,General Medicine",128 Mysuru Medical Road,27.53535,73.928191,yes,2025-09-30
H200146,New Delhi Health Institute 3998,Delhi,New Delhi,300146,401,"Cardiology,Nephrology,ENT,Oncology,Pediatrics",253 New Delhi Medical Road,19.8942,80.578462,no,2025-09-30
H200147,Mysuru Health Institute 8655,Karnataka,Mysuru,300147,414,"Orthopedics,Gastroenterology,ENT,Neurology,Cardiology",86 Mysuru Medical Road,29.856229,73.873368,yes,2025-09-30
H200148,Patna Health Institute 572,Bihar,Patna,300148,692,"Oncology,General Medicine,Orthopedics,ENT,Gastroenterology",150 Patna Medical Road,31.362647,84.113636,no,2025-09-30
H200149,Chandigarh Health Institute 578,Punjab,Chandigarh,300149,972,"Nephrology,Neurology,Pediatrics,Gastroenterology",266 Chandigarh Medical Road,31.779907,84.009825,no,2025-09-30
H200150,Bengaluru Health Institute 9151,Karnataka,Bengaluru,300150,548,"Neurology,General Medicine,Orthopedics,Oncology",266 Bengaluru Medical Road,25.883589,68.733972,no,2025-09-30
H200151,Raipur Health Institute 6742,Chhattisgarh,Raipur,300151,201,"Pediatrics,Neurology,Gastroenterology",291 Raipur Medical Road,11.356535,71.002495,yes,2025-09-30
H200152,Hubli Health Institute 1942,Karnataka,Hubli,300152,161,"General Medicine,Nephrology,ENT,Gastroenterology",244 Hubli Medical Road,12.721486,83.532594,no,2025-09-30
H200153,Vadodara Health Institute 7848,Gujarat,Vadodara,300153,376,"Gastroenterology,Oncology,ENT,Orthopedics,Pediatrics",151 Vadodara Medical Road,12.652087,75.91184,no,2025-09-30
