user_id,income_band,avg_annual_spend,occupation
U0232,6-10L,68585,student
U0233,3-6L,80771,self-employed
U0234,3-6L,114263,student
U0235,>20L,26895,self-employed
U0236,6-10L,148184,homemaker
U0237,<3L,28494,student
U0238,<3L,74386,homemaker
U0239,10-20L,82101,self-employed
U0240,6-10L,85575,student
U0241,>20L,45288,salaried
U0242,6-10L,57047,homemaker
U0243,6-10L,76862,self-employed
U0244,10-20L,56124,salaried
U0245,10-20L,47904,student
U0246,3-6L,98165,salaried
U0247,3-6L,28127,salaried
U0248,>20L,69911,salaried
U0249,>20L,94588,student
U0250,6-10L,38489,salaried
U0251,>20L,136051,retired
U0252,6-10L,95601,self-employed
U0253,6-10L,80895,homemaker
U0254,10-20L,8048,salaried
U0255,>20L,33832,retired
U0256,3-6L,78981,retired
U0257,3-6L,51415,retired
U0258,3-6L,24403,salaried
U0259,3-6L,32384,student
U0260,3-6L,109513,self-employed
U0261,6-10L,17855,homemaker
U0262,<3L,76139,retired
U0263,10-20L,60932,student
U0264,6-10L,65592,salaried
U0265,3-6L,105038,self-employed
U0266,3-6L,72634,self-employed
U0267,3-6L,56015,self-employed
U0268,10-20L,19806,self-employed
U0269,3-6L,88586,salaried
U0270,>20L,10706,homemaker
U0271,<3L,91658,homemaker
U0272,3-6L,30139,student
U0273,<3L,13606,retired
U0274,<3L,144296,student
U0275,>20L,6483,salaried
U0276,<3L,87553,self-employed
U0277,10-20L,21122,retired
U0278,10-20L,16991,self-employed
U0279,<3L,59276,retired
U0280,3-6L,52871,self-employed
U0281,6-10L,54397,self-employed
U0282,10-20L,17039,student
U0283,<3L,15826,self-employed
U0284,10-20L,98871,salaried
U0285,>20L,59266,salaried
U0286,>20L,54808,homemaker
U0287,<3L,75374,salaried
U0288,<3L,9604,salaried
U0289,10-20L,57955,retired
U0290,<3L,59920,self-employed
U0291,6-10L,122791,salaried
U0292,>20L,80354,retired
U0293,<3L,41462,salaried
U0294,10-20L,89625,retired
U0295,10-20L,31614,retired
U0296,10-20L,33896,salaried
U0297,10-20L,78424,retired
U0298,>20L,77203,student
U0299,10-20L,80754,self-employed
U0300,3-6L,21145,self-employed
U0301,>20L,73743,retired
U0302,10-20L,117116,retired
U0303,3-6L,76814,salaried
U0304,10-20L,109102,student
U0305,10-20L,73554,self-employed
U0306,<3L,67309,retired
U0307,>20L,32886,homemaker
U0308,3-6L,10351,salaried
U0309,<3L,89600,salaried
U0310,10-20L,65079,self-employed
U0311,<3L,75344,retired
U0312,6-10L,91787,homemaker
U0313,6-10L,144079,self-employed
U0314,6-10L,80982,student
U0315,3-6L,47238,self-employed
U0316,3-6L,35596,self-employed
U0317,<3L,25881,student
U0318,<3L,30375,salaried
U0319,6-10L,53058,salaried
U0320,<3L,78964,salaried
U0321,>20L,40290,homemaker
U0322,3-6L,49851,student
U0323,3-6L,43004,self-employed
U0324,6-10L,88652,salaried
U0325,<3L,58439,homemaker
U0326,>20L,110678,student
U0327,6-10L,96122,retired
U0328,10-20L,56096,self-employed
U0329,>20L,7708,salaried
U0330,10-20L,36860,homemaker
U0331,>20L,112211,salaried
U0332,>20L,9139,self-employed
U0333,6-10L,26429,retired
U0334,3-6L,8954,student
U0335,3-6L,82966,student
U0336,6-10L,69626,student
U0337,>20L,29957,student
U0338,6-10L,87368,self-employed
U0339,>20L,80925,homemaker
U0340,6-10L,47037,student
U0341,6-10L,133350,retired
U0342,10-20L,15097,student
U0343,6-10L,77245,retired
U0344,10-20L,116304,homemaker
U0345,6-10L,60193,homemaker
U0346,10-20L,42766,self-employed
U0347,>20L,81736,self-employed
U0348,>20L,14046,student
U0349,10-20L,102644,student
U0350,>20L,140024,student
U0351,>20L,65333,self-employed
U0352,>20L,20939,homemaker
U0353,>20L,76532,salaried
U0354,3-6L,12446,homemaker
U0355,10-20L,34883,self-employed
U0356,3-6L,28658,retired
U0357,10-20L,94374,salaried
U0358,6-10L,24641,homemaker
U0359,>20L,110826,salaried
U0360,3-6L,108244,salaried
U0361,6-10L,11182,retired
U0362,>20L,19385,homemaker
U0363,>20L,40365,retired
U0364,<3L,19538,retired
U0365,6-10L,6572,self-employed
U0366,10-20L,147002,retired
U0367,3-6L,130787,homemaker
U0368,6-10L,33714,retired
U0369,<3L,69176,student
U0370,10-20L,102794,homemaker
U0371,<3L,14021,salaried
U0372,<3L,108739,student
U0373,6-10L,8793,retired
U0374,<3L,124424,student
U0375,10-20L,92269,self-employed
U0376,>20L,53736,student
U0377,10-20L,125307,retired
U0378,3-6L,30076,retired
U0379,<3L,17186,salaried
U0380,10-20L,52134,self-employed
U0381,6-10L,110483,student
U0382,6-10L,26768,salaried
U0383,>20L,72411,student
U0384,10-20L,95056,self-employed
U0385,<3L,27391,student
U0386,3-6L,93729,student
U0387,10-20L,12232,salaried
U0388,10-20L,23821,retired
U0389,10-20L,80513,student
U0390,>20L,86891,homemaker
U0391,10-20L,83800,self-employed
U0392,<3L,61510,salaried
U0393,10-20L,57299,homemaker
U0394,<3L,55760,homemaker
U0395,3-6L,10633,salaried
U0396,<3L,46767,student
U0397,<3L,51566,homemaker
U0398,>20L,157793,student
U0399,3-6L,20079,salaried
U0400,>20L,108859,homemaker
U0401,>20L,115911,student
U0402,10-20L,29212,retired
U0403,>20L,67037,salaried
U0404,>20L,105712,salaried
U0405,>20L,26159,salaried
U0406,10-20L,30956,student
U0407,3-6L,82646,student
U0408,6-10L,74705,student
U0409,10-20L,111339,salaried
U0410,3-6L,92951,retired
U0411,10-20L,65746,retired
U0412,6-10L,60486,student
U0413,6-10L,122332,salaried
U0414,10-20L,67314,salaried
U0415,6-10L,88631,homemaker
U0416,6-10L,84831,homemaker
U0417,6-10L,79771,retired
U0418,6-10L,72361,salaried
U0419,10-20L,53936,salaried
U0420,>20L,76308,self-employed
U0421,>20L,72403,student
U0422,3-6L,12680,retired
U0423,>20L,64845,retired
U0424,>20L,33148,salaried
U0425,>20L,50636,self-employed
U0426,10-20L,44870,salaried
U0427,<3L,110508,homemaker
U0428,3-6L,71085,salaried
U0429,3-6L,5696,salaried
U0430,10-20L,88347,homemaker
U0431,<3L,130342,student
U0432,>20L,26936,student
U0433,>20L,81933,homemaker
U0434,10-20L,22363,retired
U0435,10-20L,102632,retired
U0436,<3L,24554,retired
U0437,6-10L,95163,retired
U0438,10-20L,87923,retired
U0439,10-20L,78015,retired
U0440,<3L,100691,salaried
U0441,3-6L,70270,self-employed
U0442,6-10L,80670,student
U0443,3-6L,43179,salaried
U0444,>20L,82192,salaried
U0445,10-20L,78586,retired
U0446,6-10L,35180,retired
U0447,6-10L,49662,retired
U0448,10-20L,12528,student
U0449,3-6L,23318,self-employed
U0450,<3L,36568,self-employed
U0451,>20L,8602,self-employed
U0452,6-10L,42288,retired
U0453,>20L,102903,self-employed
U0454,<3L,40734,salaried
U0455,<3L,119262,self-employed
U0456,>20L,115090,self-employed
U0457,>20L,82762,salaried
U0458,<3L,111141,self-employed
U0459,10-20L,30250,retired
U0460,6-10L,126256,homemaker
U0461,6-10L,113326,homemaker
U0462,>20L,37971,homemaker
U0463,3-6L,46652,student
U0464,>20L,8006,self-employed
U0465,6-10L,100271,salaried
U0466,3-6L,25442,self-employed
U0467,3-6L,115827,student
U0468,<3L,23047,self-employed
U0469,6-10L,14231,salaried
U0470,10-20L,114444,self-employed
U0471,3-6L,55988,salaried
U0472,10-20L,81375,homemaker
U0473,6-10L,19582,salaried
U0474,10-20L,145051,self-employed
U0475,<3L,5655,salaried
U0476,>20L,70206,retired
U0477,>20L,86756,retired
U0478,10-20L,6225,retired
U0479,3-6L,46911,retired
U0480,>20L,28735,salaried
U0481,6-10L,50086,student
U0482,6-10L,61573,salaried
U0483,>20L,7775,homemaker
U0484,10-20L,49974,salaried
U0485,<3L,74511,homemaker
U0486,10-20L,84089,self-employed
U0487,>20L,35905,salaried
U0488,6-10L,108229,salaried
U0489,>20L,9264,homemaker
U0490,10-20L,78743,salaried
U0491,10-20L,28305,salaried
U0492,3-6L,144549,homemaker
U0493,<3L,34471,homemaker
U0494,>20L,69986,student
U0495,10-20L,116458,salaried
U0496,6-10L,28147,self-employed
U0497,10-20L,93363,retired
U0498,10-20L,24038,student
U0499,<3L,24399,homemaker
U0500,3-6L,78348,self-employed
